scenarioId,representation,conditionName,bandwidthBps,latencyMs,jitterMs,configuredLossRate,burstLossLength,totalMessages,successfulMessages,deliverySuccessRate,observedPacketLossRate,latencyMedianMs,latencyP95Ms,latencyMeanMs,ackMedianMs,ackP95Ms,retransmissionCount,fragmentCount,reassemblySuccessCount,dtnStorageCount,dtnExpiryCount,duplicateSuppressionCount,bytesTransmitted,bytesDelivered,goodputBps,overheadRatio,representationExpansionRatio,contextReconstructionSuccessRate,semanticCorrectnessRate,tacticalSuccessRate,semanticFieldAccuracy,criticalFieldRecall,seed,device
EXP-BW-BW_100K-FULL,FULL,BW_100K,100000,0,0,0.0000,0,6,6,1.0000,0.0000,8.50,9.00,8.50,11.50,12.00,0,0,0,0,0,0,617,617,96784.31,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260915,CONTROLLED_SIMULATION
EXP-BW-BW_100K-COMPACT,COMPACT,BW_100K,100000,0,0,0.0000,0,6,6,1.0000,0.0000,8.50,9.00,8.50,11.50,12.00,0,0,0,0,0,0,594,594,93176.47,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260916,CONTROLLED_SIMULATION
EXP-BW-BW_100K-SEMANTIC_BASE,SEMANTIC_BASE,BW_100K,100000,0,0,0.0000,0,6,6,1.0000,0.0000,4.00,4.00,4.00,7.00,7.00,0,0,0,0,0,0,240,240,80000.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260917,CONTROLLED_SIMULATION
EXP-BW-BW_100K-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BW_100K,100000,0,0,0.0000,0,6,6,1.0000,0.0000,9.50,10.00,9.50,12.50,13.00,0,0,0,0,0,0,691,691,96982.46,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260918,CONTROLLED_SIMULATION
EXP-BW-BW_100K-CONTEXT_DELTA,CONTEXT_DELTA,BW_100K,100000,0,0,0.0000,0,6,6,1.0000,0.0000,4.00,4.00,4.00,7.00,7.00,0,0,0,0,0,0,254,254,84666.67,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260919,CONTROLLED_SIMULATION
EXP-BW-BW_50K-FULL,FULL,BW_50K,50000,0,0,0.0000,0,6,6,1.0000,0.0000,16.50,18.00,16.67,22.50,24.00,0,0,0,0,0,0,617,617,49360.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260920,CONTROLLED_SIMULATION
EXP-BW-BW_50K-COMPACT,COMPACT,BW_50K,50000,0,0,0.0000,0,6,6,1.0000,0.0000,16.50,18.00,16.67,22.50,24.00,0,0,0,0,0,0,594,594,47520.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260921,CONTROLLED_SIMULATION
EXP-BW-BW_50K-SEMANTIC_BASE,SEMANTIC_BASE,BW_50K,50000,0,0,0.0000,0,6,6,1.0000,0.0000,7.00,7.00,7.00,13.00,13.00,0,0,0,0,0,0,240,240,45714.29,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260922,CONTROLLED_SIMULATION
EXP-BW-BW_50K-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BW_50K,50000,0,0,0.0000,0,6,6,1.0000,0.0000,18.50,20.00,18.83,24.50,26.00,0,0,0,0,0,0,691,691,48920.35,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260923,CONTROLLED_SIMULATION
EXP-BW-BW_50K-CONTEXT_DELTA,CONTEXT_DELTA,BW_50K,50000,0,0,0.0000,0,6,6,1.0000,0.0000,8.00,8.00,7.67,14.00,14.00,0,0,0,0,0,0,254,254,44173.91,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260924,CONTROLLED_SIMULATION
