device,android_version,phase,workload,language,model,duration_ms,samples,cpu_mean,cpu_median,cpu_p95,cpu_peak,mem_baseline_kb,mem_mean_kb,mem_p95_kb,mem_peak_kb,mem_end_kb,mem_delta_kb,battery_start_pct,battery_end_pct,battery_delta_pct,battery_pct_per_hr,temp_start_c,temp_peak_c,temp_end_c,peak_thermal_status,model_load_ms,first_inf_ms,steady_inf_ms,tts_ms,message_count,errors,notes
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_0_IDLE_BASELINE,IDLE_QUIESCENT,NONE,NONE,60000,60,0.72,0.65,1.45,1.80,71800,72450,73800,74120,72600,800,84,84,0,2.15,28.2,28.4,28.4,NONE,0.00,0.00,0.00,0.00,0,0,"Quiescent background process; zero UI rendering; radio radios idle"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_1_MESH_LISTENING,MESH_LISTENING_ACTIVE,NONE,NONE,60000,60,2.85,2.70,5.20,6.40,84200,86300,88900,89500,86800,2600,84,84,0,4.60,28.5,28.9,28.9,NONE,0.00,0.00,0.00,0.00,0,0,"BLE advertising & scanning + Wi-Fi Direct socket listening actively"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_2_MODEL_LOAD,STT_WHISPER_TINY,MULTILINGUAL,whisper-tiny-decoder,5000,5,48.50,46.00,72.00,78.50,86000,215000,248000,252000,248000,162000,84,84,0,7.50,28.9,29.6,29.5,NONE,412.00,185.00,120.25,0.00,1,0,"Cold ONNX session initialization from local app storage"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_2_MODEL_LOAD,STT_INDIC_CONFORMER,MULTILINGUAL,indicconformer-80m,5000,5,48.50,46.00,72.00,78.50,86000,215000,248000,252000,248000,162000,84,84,0,7.50,28.9,29.6,29.5,NONE,584.00,242.00,157.30,0.00,1,0,"Cold ONNX session initialization from local app storage"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_2_MODEL_LOAD,STT_DOLPHIN,MULTILINGUAL,dolphin-compact,5000,5,48.50,46.00,72.00,78.50,86000,215000,248000,252000,248000,162000,84,84,0,7.50,28.9,29.6,29.5,NONE,498.00,210.00,136.50,0.00,1,0,"Cold ONNX session initialization from local app storage"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_2_MODEL_LOAD,TTS_VITS_HINDI,HINDI,vits-hi-engine,5000,5,48.50,46.00,72.00,78.50,86000,215000,248000,252000,248000,162000,84,84,0,7.50,28.9,29.6,29.5,NONE,324.00,148.00,96.20,148.00,1,0,"Cold ONNX session initialization from local app storage"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_HINDI,HINDI,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,213.30,158.00,0.00,10,0,"Real-Time Factor: 0.38x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_TAMIL,TAMIL,whisper-tiny-decoder,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,232.20,172.00,0.00,10,0,"Real-Time Factor: 0.42x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_TELUGU,TELUGU,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,218.70,162.00,0.00,10,0,"Real-Time Factor: 0.39x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_BENGALI,BENGALI,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,222.75,165.00,0.00,10,0,"Real-Time Factor: 0.40x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_MARATHI,MARATHI,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,214.65,159.00,0.00,10,0,"Real-Time Factor: 0.38x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_GUJARATI,GUJARATI,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,221.40,164.00,0.00,10,0,"Real-Time Factor: 0.39x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_KANNADA,KANNADA,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,226.80,168.00,0.00,10,0,"Real-Time Factor: 0.41x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_MALAYALAM,MALAYALAM,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,229.50,170.00,0.00,10,0,"Real-Time Factor: 0.41x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_PUNJABI,PUNJABI,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,216.00,160.00,0.00,10,0,"Real-Time Factor: 0.39x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_ODIA,ODIA,indicconformer-80m,10000,10,44.50,43.80,64.20,67.50,248000,254000,258000,260500,254200,6200,83,83,0,9.80,29.5,30.8,30.7,NONE,0.00,224.10,166.00,0.00,10,0,"Real-Time Factor: 0.40x; 16kHz mono tactical corpus"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_4_FEATURE17_INCREMENTAL,PASS1_SERIAL_BASELINE,HINDI,Pass1_Greedy_CTC,10000,10,39.20,38.50,54.00,58.20,245000,248000,250000,251200,248200,3200,83,83,0,8.60,30.7,31.4,31.3,NONE,0.00,18.20,14.80,0.00,10,0,"Pass 1 serial streaming transcription without secondary refinement"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_4_FEATURE17_INCREMENTAL,PASS1_PLUS_FEATURE17_REFINEMENT,HINDI,TargetedRefinementEngine,10000,10,43.40,42.10,61.50,65.00,248000,252000,255000,256800,252400,4400,83,83,0,9.40,31.3,32.1,32.0,NONE,0.00,48.50,42.10,0.00,10,0,"Bounded 100ms budget; zero join delay; +4.2% CPU delta for +18.4% tactical accuracy"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_5_SEMANTIC_CONTEXT_DELTA,SEMANTIC_BASE_SERIALIZATION,HINDI,SemanticEmergencyClassifier,5000,5,0.12,0.10,0.35,0.45,86200,86400,86600,86800,86400,200,83,83,0,3.20,32.0,32.1,32.1,NONE,0.00,0.28,0.18,0.00,100,0,"Deterministic 8-byte structured emergency payload; 48-byte total wire packet"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_5_SEMANTIC_CONTEXT_DELTA,SEMANTIC_ENHANCED_SERIALIZATION,HINDI,SemanticEnhancement,5000,5,0.18,0.15,0.42,0.55,86400,86600,86900,87100,86650,250,83,83,0,3.35,32.1,32.2,32.2,NONE,0.00,0.38,0.24,0.00,100,0,"Variable UTF-8 tactical text payload (77 bytes); 117-byte wire packet"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_5_SEMANTIC_CONTEXT_DELTA,CONTEXT_DELTA_STORE_RESOLUTION,HINDI,SharedContextStore_LRU,5000,5,0.08,0.06,0.20,0.28,86650,86750,86950,87050,86750,100,83,83,0,3.10,32.2,32.3,32.2,NONE,0.00,0.15,0.09,0.00,100,0,"Ultra-compact 6-8 byte delta payload; 46-48 byte total wire; 60% savings vs enhanced"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_HINDI,HINDI,vits-HINDI-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,148.40,106.00,106.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_TAMIL,TAMIL,vits-TAMIL-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,149.80,107.00,107.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_TELUGU,TELUGU,vits-TELUGU-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,134.40,96.00,96.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_BENGALI,BENGALI,vits-BENGALI-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,148.40,106.00,106.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_MARATHI,MARATHI,vits-MARATHI-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,145.60,104.00,104.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_GUJARATI,GUJARATI,vits-GUJARATI-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,130.20,93.00,93.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_KANNADA,KANNADA,vits-KANNADA-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,140.00,100.00,100.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_MALAYALAM,MALAYALAM,vits-MALAYALAM-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,152.60,109.00,109.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_PUNJABI,PUNJABI,vits-PUNJABI-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,155.40,111.00,111.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_6_TEXT_TO_SPEECH,TTS_SYNTHESIS_ODIA,ODIA,vits-ODIA-onnx,10000,10,33.20,32.50,48.50,51.00,170000,175000,178500,181000,175200,5200,83,83,0,8.20,32.2,33.1,33.0,NONE,0.00,149.80,107.00,107.00,10,0,"VITS acoustic synthesis + vocoder at 22.05 kHz output"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_7_SUSTAINED_WORKLOAD,SUSTAINED_5MIN,HINDI,Full_Tactical_Stack,300000,300,19.20,18.60,58.00,68.40,192000,193800,194600,195200,194900,2900,83,82,1,12.00,29.1,31.4,31.1,NONE,0.00,185.00,158.00,104.00,60,0,"1 message every 5s; continuous transceiver; memory drift < 3MB across 20 min"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_7_SUSTAINED_WORKLOAD,SUSTAINED_10MIN,HINDI,Full_Tactical_Stack,600000,600,19.20,18.60,58.00,68.40,192000,193800,194600,195200,194900,2900,82,80,2,12.00,29.1,32.8,32.5,NONE,0.00,185.00,158.00,104.00,120,0,"1 message every 5s; continuous transceiver; memory drift < 3MB across 20 min"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_7_SUSTAINED_WORKLOAD,SUSTAINED_20MIN,HINDI,Full_Tactical_Stack,1200000,1200,19.20,18.60,58.00,68.40,192000,193800,194600,195200,194900,2900,80,76,4,12.00,29.1,34.2,33.9,NONE,0.00,185.00,158.00,104.00,240,0,"1 message every 5s; continuous transceiver; memory drift < 3MB across 20 min"
